location,area,country,count,latitude,longitude
Channel between South Padre Island & Padre Island National Seashore,Texas,USA,1,26.113549,-97.169865
Charleston,South Carolina,USA,7,32.7884363,-79.9399309
"Charleston Harbor, Charleston County",South Carolina,USA,4,32.763788,-79.8973093
"Charlie Young Beach, Kihei, Maui",Hawaii,USA,1,20.724779,-156.449148
Chatham Island,Massachusetts,USA,1,42.3788774,-72.032366
"Chelsea Beach, Suffolk County",Massachusetts,USA,1,42.38642195,-71.01949822352273
"Cherie Down Park, Brevard County",Florida,USA,1,28.5421109,-81.3790304
Cherry Grove,South Carolina,USA,1,33.8273947,-78.6427922
Chester River,Maryland,USA,1,39.2028931,-76.0624927
Chicago (Lake Michigan),Illinois,USA,1,41.8755616,-87.6244212
"Chun's Reef, Laniakea, O'ahu",Hawaii,USA,1,19.155147,-155.768898
"Clam Beach, near Eureka, Humboldt County",California,USA,1,40.7906871,-124.1673746
"Clearwater Beach, Pinellas County",Florida,USA,2,27.9774736,-82.8279313
"Cocoa  Beach, Brevard County",Florida,USA,1,28.3184107,-80.6094959
"Cocoa Beach, Brevard  County",Florida,USA,12,28.3184107,-80.6094959
"Cocoa Beach, Brevard County",Florida,USA,12,28.3184107,-80.6094959
Coddington Cove,Rhode Island,USA,1,41.5232973,-71.3175071
"Coligny Beach, Hilton Head, Beaufort County",South Carolina,USA,3,32.158801,-80.72248319561183
"Condado Beach, San Juan",Puerto Rico,USA,3,18.454759,-66.072952
Coney Island,New York,USA,1,44.6061711,-74.9715859
"Coquina Beach, Anna Maria Island, Manatee County",Florida,USA,1,35.8340645,-75.5576681
"Coral Cove Park, Jupiter Inlet, Palm Beach County",Florida,USA,1,26.97429,-80.087911
"Coral Cove Park, Jupiter Island, Martin County",Florida,USA,1,27.03172,-80.1006
"Coral Cove Park, Palm Beach County",Florida,USA,1,26.96058285,-80.07812451891394
"Coral Gardens Reef, 6 miles SSE of Chicoteague Inlet",Virginia,USA,1,38.581469,-90.603457
"Corners Beach, Jupiter, Palm Beach County",Florida,USA,1,26.9342246,-80.0942087
"Corolla, Currituck County",North Carolina,USA,1,36.3847464,-75.8286983
"Corona Del Mar, Newport, Orange County",California,USA,1,33.5995916,-117.873739
"Coronado Strand, San Diego County",California,USA,1,32.636022,-117.1413846105208
Corpus Christi,Texas,USA,1,27.7635302,-97.4033191
Cortes Bank,California,USA,1,33.113835,-117.238296
"Cove Beach / Kalama Beach, Kihei, Maui",Hawaii,USA,1,20.7476261,-156.4549898
"Crawford Road beach approach at New Smyrna Beach, Volusia County",Florida,USA,1,29.0258132,-80.9271271
Crescent Beach St. Johns County,Florida,USA,2,29.7686294,-81.2533253
"Crescent Beach, Sarasota County",Florida,USA,1,29.7686294,-81.2533253
"Crescent Beach, St Johns County",Florida,USA,1,29.7686294,-81.2533253
"Crescent Beach, St. Augustine, St. Johns County",Florida,USA,1,29.897545,-81.315899
"Crescent Beach, St. Johns County",Florida,USA,3,29.7686294,-81.2533253
"Croatan Beach, Virginia Beach,",Virginia,USA,1,36.82209,-75.96854
Crystal Beach (east of Galveston),Texas,USA,1,29.311568,-94.76559
"Crystal Beach, Galveston  County",Texas,USA,1,29.4572611,-94.6389136
Cumberland Island,Georgia,USA,1,32.3293809,-83.1137366
"Curlew Island, Breton Sound",Louisiana,USA,1,33.594836,-78.988125
"Dana Point, Orange County",California,USA,1,33.4669721,-117.6981075
"Dana Point, San Clemente, Orange County",California,USA,1,33.449613,-117.61144
"Dania, Broward County",Florida,USA,1,26.0524224,-80.143929
"Davenport Landing, Santa Cruz County",California,USA,2,37.0243413,-122.21493
"Davenport Light, San Mateo County",California,USA,1,26.40946,-81.443176
"Davenport, Santa Cruz County",California,USA,1,37.0116166,-122.1919134
"Davidson's Surf Break, Kekaha, Kaua'i",Hawaii,USA,1,21.970833,-159.715
"Davidsons Beach, Kekaha, Kauai",Hawaii,USA,1,21.96058,-159.70488
"Davis Shore, east of Beaufor, Carteret Countyt",North Carolina,USA,1,47.41725,-120.28083
"Daws Island, Broad River (near Beaufort)",South Carolina,USA,1,32.4315813,-80.6698286
"Daytona  Beach, Volusia County",Florida,USA,1,29.2108147,-81.0228331
Daytona Beach Shores,Florida,USA,2,29.1760933,-80.9828323
"Daytona Beach Shores,  Volusia County",Florida,USA,1,29.1760933,-80.9828323
"Daytona Beach Shores, Volusia County",Florida,USA,5,29.1760933,-80.9828323
"Daytona Beach, Volusia County",Florida,USA,33,29.2108147,-81.0228331
"Daytona, Volusia County",Florida,USA,2,29.2108147,-81.0228331
"DeBordieu Colony, Georgetown County",South Carolina,USA,1,33.3690565,-79.1517111
"Debordieu Beach, Georgetown County",South Carolina,USA,1,33.3541739,-79.1529139482721
"Deer Creek Beach, Ventura County",California,USA,1,26.3272062,-80.1496609
"Deerfield Beach (near Boca Raton), Broward County",Florida,USA,1,26.3586885,-80.0830984
"Deerfield Beach, Broward County",Florida,USA,1,26.318342,-80.0996306
Delaware Lightship,Delaware,USA,1,38.978849,-75.46014
Delray Beach,Florida,USA,2,26.4614625,-80.0728201
"Delray Beach, Palm Beach County",Florida,USA,2,26.4614625,-80.0728201
"Destin, Okaloosa County",Florida,USA,2,30.3935337,-86.4957834
"Destin, Walton County",Florida,USA,1,30.3935337,-86.4957834
Dewey Beach,Delaware,USA,1,38.691184,-75.0752724
"Dillon Beach, Marin County",California,USA,4,38.2507515,-122.9652768
"Disney / Vero Beach, Indian River County",Florida,USA,1,27.762296,-80.396568
"Dog Patch, San Onofre",California,USA,1,33.3803575,-117.5736037
"Drakes Estero, Point Reyes, Marin County",California,USA,1,38.160951,-122.687073
"East Beach, Galveston",Texas,USA,1,29.3173116,-94.7534055
East Moloka'i,Hawaii,USA,1,21.11002,-156.84
East River,New York,USA,1,42.6478472,-76.1140932
"Edisto Beach, Colleton County",South Carolina,USA,1,32.4793551,-80.3348229
"Egg Harbor, Atlantic County",New Jersey,USA,1,39.5287282,-74.6479364
"Egmont Key, Hillsborough County",Florida,USA,1,27.9184543,-82.3488057
"Ehukai Beach Park, Sunset Beach, O'ahu",Hawaii,USA,1,21.664825,-158.050801
"Eight Mile Beach, Galveston",Texas,USA,1,29.28592,-94.81164
"El Pescador Beach, Los Angeles County",California,USA,1,34.707498,-118.08823
"Elizabeth City, Pasquotank County",North Carolina,USA,1,36.3010192,-76.2203699
Elliot Key,Florida,USA,2,44.969524,-93.262118
"Elliott Cut, Charleston County",South Carolina,USA,1,32.7688726,-79.993472
"Emerald Isle Pier (near Morehead City), Carteret County",North Carolina,USA,2,38.698969,-75.225844
"Emerald Isle, Carteret County",North Carolina,USA,5,34.6653135,-77.0382187
"Englewood Beach, Charlotte County",Florida,USA,1,26.9233958,-82.3598179
"Everglades National Park, Monroe County",Florida,USA,1,28.370802,-81.423511
"Ewa Beach, O'ahu",Hawaii,USA,1,21.315603,-158.008804
"Ewa, O'ahu",Hawaii,USA,1,21.272786,-157.821532
"Fairmount Park Aquarium, Philadelphia",Pennsylvania,USA,1,39.96129,-75.139307
False Cape,Virginia,USA,1,36.5761218,-75.8839148
Farallon Islands,California,USA,4,36.7014631,-118.755997
"Faria Beach, Ventura County",California,USA,1,34.3190377,-119.3847029
Fenwick Island,Delaware,USA,1,38.4623346,-75.0512922
"Fernandina Beach, Amelia Island, Nassau County",Florida,USA,1,30.6077379,-81.4600909
"Fernandina Beach, Nassau County",Florida,USA,5,30.6696818,-81.4625919
"Fernandina, Nassau County",Florida,USA,1,30.6696818,-81.4625919
"Figure Eight Island,  New Hanover County",North Carolina,USA,1,34.2751052,-77.8818627
"Figure Eight Island, Wilmington, New Hanover County",North Carolina,USA,1,34.2257282,-77.9447107
"Flagler Beach, Flagler County",Florida,USA,5,29.4749927,-81.1269982
"Fletcher Beach, Hutchinson Island, Martin County",Florida,USA,1,27.40757,-80.25881
Florence,Oregon,USA,1,43.9800086,-124.1013089
"Florence, Lane County",Oregon,USA,1,43.9800086,-124.1013089
Florida Bay,Florida,USA,1,28.5421109,-81.3790304
Florida Keys,Florida,USA,9,28.5421109,-81.3790304
"Florida Keys 25ºN,82ºW",Florida,USA,1,28.5421109,-81.3790304
"Florida Keys, Monroe County",Florida,USA,9,25.0405135,-80.8337157
Florida Straits,Florida,USA,2,34.729051,-76.5710368
"Floridana Beach, Brevard County",Florida,USA,4,27.9462734,-80.4970188
"Follett's Island, Brazoria County",Texas,USA,1,29.120005,-95.406398
Folly Beach,South Carolina,USA,2,32.6549967,-79.9406093
"Folly Beach, Charleston County",South Carolina,USA,7,32.6549967,-79.9406093
"Folly Island, near Charleston",South Carolina,USA,3,32.7884363,-79.9399309
"Fort Fisher, New Hanover County",North Carolina,USA,1,33.9535852,-77.93004012415346
Fort Lauderdale,Florida,USA,3,26.1223084,-80.1433786
"Fort Lauderdale, Broward County",Florida,USA,6,26.1223084,-80.1433786
"Fort Macon State Beach, Carteret County",North Carolina,USA,1,43.329957,-76.696371
Fort Moultrie,South Carolina,USA,1,32.7597937,-79.85777466479117
Fort Myers,Florida,USA,1,26.640628,-81.8723084
"Fort Myers Beach, Lee County",Florida,USA,1,26.4520248,-81.948145
"Fort Pickens, Escambia County",Florida,USA,1,34.677991899999995,-82.83896114430829
"Fort Pierce Inlet State Park, St Lucie County",Florida,USA,1,27.47869875,-80.3030766163625
"Fort Pierce Inlet State Park, St. Lucie County",Florida,USA,1,27.47869875,-80.3030766163625
"Fort Pierce Inlet, St Lucie County",Florida,USA,2,27.4727144,-80.2847782
"Fort Pierce Inlet, St. Lucie County",Florida,USA,1,27.4727144,-80.2847782
"Fort Pierce, St Lucie County",Florida,USA,2,27.4467056,-80.3256056
"Fort Pierce, St. Lucie County",Florida,USA,3,27.4467056,-80.3256056
"Fort Walton Beach, Okaloosa County",Florida,USA,1,30.4057552,-86.618842
Fort Worth,Florida,USA,1,26.6259596,-80.0781702
